ProbeID,Accession,Analyte,Control,cel67,miR142,miR155,miR18b,miR890
hsa-miR-30a-5p,MIMAT0000087,miRNA,20,20.41,20,26.11,20,20
hsa-miR-30b-5p,MIMAT0000420,miRNA,41.89,40.85,39.32,31.37,49.22,39.15
hsa-miR-30c-5p,MIMAT0000244,miRNA,21.67,29.81,23.27,20.9,36.13,22.14
hsa-miR-30d-5p,MIMAT0000245,miRNA,20,27.79,30.05,20.18,24.02,20
hsa-miR-30e-5p,MIMAT0000692,miRNA,41.59,44.68,31.71,57.92,50.69,35.65
hsa-miR-31-5p,MIMAT0000089,miRNA,20,20,20,20,20,26.15
hsa-miR-3136-5p,MIMAT0015003,miRNA,25.32,24.59,29.61,37.66,49.91,26.8
hsa-miR-3144-3p,MIMAT0015015,miRNA,20,20,20.14,20,20,20
hsa-miR-3144-5p,MIMAT0015014,miRNA,20,23.1,22.89,30.86,30.4,20
hsa-miR-3150b-3p,MIMAT0018194,miRNA,20,20,20,20,20,21.86
hsa-miR-3161,MIMAT0015035,miRNA,26.49,28.55,22.62,30.78,26.21,29.69
hsa-miR-3179,MIMAT0015056,miRNA,20,20,20,23.86,20,20
hsa-miR-3182,MIMAT0015062,miRNA,20,20,20,22.21,20,20
hsa-miR-3202,MIMAT0015089,miRNA,20,20,20,20,20,20.65
hsa-miR-320e,MIMAT0015072,miRNA,20,20.41,20,24.45,20,20
hsa-miR-323a-3p,MIMAT0000755,miRNA,57.41,73.85,61.12,66.96,42.47,65.86
hsa-miR-324-3p,MIMAT0000762,miRNA,24.64,24.17,20.39,20,21.32,20
hsa-miR-324-5p,MIMAT0000761,miRNA,38.1,42.14,36.86,26.11,30.85,28.89
hsa-miR-329-3p,MIMAT0001629,miRNA,20,20,20,20,20,141.61
hsa-miR-331-3p,MIMAT0000760,miRNA,36.29,34,26.61,28.53,34.94,23.29
hsa-miR-337-3p,MIMAT0000754,miRNA,103.06,92.59,86.89,2171.32,82.81,57.69
hsa-miR-337-5p,MIMAT0004695,miRNA,84.45,75.64,74.53,64.95,44.7,75.3
hsa-miR-339-5p,MIMAT0000764,miRNA,20,20,20,30.81,20,20
hsa-miR-34a-5p,MIMAT0000255,miRNA,150.83,120.14,168.7,126.16,95.44,109.26
hsa-miR-34c-3p,MIMAT0004677,miRNA,20,20,20,20,20,54.19
hsa-miR-3605-3p,MIMAT0017982,miRNA,20,21.98,20,20,20,20
hsa-miR-361-5p,MIMAT0000703,miRNA,77.87,66.89,70.61,59.67,55.68,60.66
hsa-miR-3613-3p,MIMAT0017991,miRNA,20,20,20,28.72,20,20
hsa-miR-363-3p,MIMAT0000707,miRNA,20,30.14,20.4,43.62,28.44,21.29
hsa-miR-363-5p,MIMAT0003385,miRNA,20,20,20,20,20,32.75
hsa-miR-365a-3p+hsa-miR-365b-3p,MIMAT0000710,miRNA,101.52,89.33,76.9,40.21,94.8,71.89
hsa-miR-3690,MIMAT0018119,miRNA,20,20,20,20,20,22.67
hsa-miR-370-3p,MIMAT0000722,miRNA,44.07,40.7,25.2,25.72,27.51,30.92
hsa-miR-371b-5p,MIMAT0019892,miRNA,20,20,20,26.3,20,81.58
hsa-miR-372-3p,MIMAT0000724,miRNA,20,20,20,30.59,20,20
hsa-miR-374a-5p,MIMAT0000727,miRNA,91.89,96.26,93.37,89.86,51.49,75.42
hsa-miR-374b-5p,MIMAT0004955,miRNA,30.29,32.58,23.77,24.66,29.44,44.58
hsa-miR-376a-3p,MIMAT0000729,miRNA,195.09,185.68,171.07,141.54,145.1,143.84
hsa-miR-376c-3p,MIMAT0000720,miRNA,116.73,93.23,94.39,84,83.24,74.17
hsa-miR-377-3p,MIMAT0000730,miRNA,20,20,20,20.67,20,20
hsa-miR-378e,MIMAT0018927,miRNA,20,23.38,21.78,22.89,23.61,20
hsa-miR-378f,MIMAT0018932,miRNA,20,22.56,20,20,20,20
hsa-miR-379-5p,MIMAT0000733,miRNA,92.7,75.39,98.26,86.98,50.63,83.45
hsa-miR-381-3p,MIMAT0000736,miRNA,25.67,28.78,20.14,20.9,20,31.46
hsa-miR-382-5p,MIMAT0000737,miRNA,167,167.95,186.94,176.64,148.58,157.8
hsa-miR-3928-3p,MIMAT0018205,miRNA,20,20,20,22.02,20,20
